data_etl,qtd_nfse
2025-06-25,658724
2025-06-24,659973
2025-06-23,176733
2025-06-22,242507
2025-06-21,522405
2025-06-20,346907
2025-06-19,768490
2025-06-18,782935
2025-06-17,755089
2025-06-16,291421
2025-06-15,340864
2025-06-14,759672
2025-06-13,904193
2025-06-12,895907
2025-06-11,936689
2025-06-10,973034
2025-06-09,344448
2025-06-08,332821
2025-06-07,996347
2025-06-06,1116700
2025-06-05,2020649
2025-06-04,1413997
2025-06-03,1188413
2025-06-02,295113
2025-06-01,411428
2025-05-31,949762
2025-05-30,1054846
2025-05-29,624153
2025-05-28,639737
2025-05-27,643602
2025-05-26,133486
2025-05-25,219472
2025-05-24,531068
2025-05-23,676610
2025-05-22,1669183
2025-05-21,966464
2025-05-20,602886
2025-05-19,194035
2025-05-18,404302
2025-05-17,753044
2025-05-16,816255
2025-05-15,785897
2025-05-14,651242
2025-05-13,625137
2025-05-12,160659
2025-05-11,288897
2025-05-10,801409
2025-05-09,867552
2025-05-08,1446387
2025-05-07,1458785
2025-05-06,1840031
2025-05-05,1015133
2025-05-04,426288
2025-05-03,762084
2025-05-02,436574
2025-05-01,794229
2025-04-30,707339
2025-04-29,95992
2025-04-28,304900058
